Date,Description,Debit,Credit,Balance
22/02/2026,HELLO FRESH AUSTRALIA,96.50,,19790.07
23/02/2026,NETFLIX.COM SYDNEY AU,18.99,,19771.08
24/02/2026,SPOTIFY P0A1B2C3 STOCKHOLM,13.99,,19757.09
24/02/2026,ANYTIME FITNESS SURRY HILLS,21.95,,19735.14
25/02/2026,SALARY QADAN ANALYSIS CONSULTING,,3184.22,22919.36
26/02/2026,ATM WITHDRAWAL GEORGE ST,200.00,,22719.36
10/03/2026,ANYTIME FITNESS SURRY HILLS,21.95,,22697.41
10/03/2026,ADOBE CREATIVE CLOUD,43.99,,22653.42
11/03/2026,STAN.COM.AU,12.00,,22641.42
11/03/2026,SALARY QADAN ANALYSIS CONSULTING,,3184.22,25825.64
11/03/2026,TRANSFER TO LANDLORD RENT,2400.00,,23425.64
21/03/2026,SECURE PARKING MONTHLY PASS,45.00,,23380.64
24/03/2026,ANYTIME FITNESS SURRY HILLS,21.95,,23358.69
24/03/2026,HELLO FRESH AUSTRALIA,96.50,,23262.19
25/03/2026,NETFLIX.COM SYDNEY AU,18.99,,23243.20
25/03/2026,SALARY QADAN ANALYSIS CONSULTING,,3184.22,26427.42
26/03/2026,SPOTIFY P0A1B2C3 STOCKHOLM,13.99,,26413.43
04/04/2026,AMPOL FOODARY ALEXANDRIA,84.60,,26328.83
07/04/2026,ANYTIME FITNESS SURRY HILLS,21.95,,26306.88
08/04/2026,SALARY QADAN ANALYSIS CONSULTING,,3184.22,29491.10
09/04/2026,ADOBE CREATIVE CLOUD,43.99,,29447.11
10/04/2026,STAN.COM.AU,12.00,,29435.11
10/04/2026,TRANSFER TO LANDLORD RENT,2400.00,,27035.11
12/04/2026,ATM WITHDRAWAL GEORGE ST,200.00,,26835.11
20/04/2026,SECURE PARKING MONTHLY PASS,45.00,,26790.11
21/04/2026,ANYTIME FITNESS SURRY HILLS,21.95,,26768.16
22/04/2026,SALARY QADAN ANALYSIS CONSULTING,,3184.22,29952.38
23/04/2026,HELLO FRESH AUSTRALIA,96.50,,29855.88
24/04/2026,NETFLIX.COM SYDNEY AU,22.99,,29832.89
25/04/2026,SPOTIFY P0A1B2C3 STOCKHOLM,13.99,,29818.90
04/05/2026,AMPOL FOODARY ALEXANDRIA,79.85,,29739.05
05/05/2026,ANYTIME FITNESS SURRY HILLS,21.95,,29717.10
06/05/2026,SALARY QADAN ANALYSIS CONSULTING,,3184.22,32901.32
09/05/2026,ADOBE CREATIVE CLOUD,43.99,,32857.33
10/05/2026,STAN.COM.AU,12.00,,32845.33
10/05/2026,TRANSFER TO LANDLORD RENT,2400.00,,30445.33
19/05/2026,ANYTIME FITNESS SURRY HILLS,21.95,,30423.38
20/05/2026,SECURE PARKING MONTHLY PASS,45.00,,30378.38
20/05/2026,SALARY QADAN ANALYSIS CONSULTING,,3184.22,33562.60
23/05/2026,HELLO FRESH AUSTRALIA,96.50,,33466.10
24/05/2026,NETFLIX.COM SYDNEY AU,22.99,,33443.11
25/05/2026,SPOTIFY P0A1B2C3 STOCKHOLM,13.99,,33429.12
27/05/2026,ATM WITHDRAWAL GEORGE ST,200.00,,33229.12
02/06/2026,ANYTIME FITNESS SURRY HILLS,21.95,,33207.17
03/06/2026,AMPOL FOODARY ALEXANDRIA,91.20,,33115.97
03/06/2026,SALARY QADAN ANALYSIS CONSULTING,,3184.22,36300.19
08/06/2026,ADOBE CREATIVE CLOUD,43.99,,36256.20
09/06/2026,TRANSFER TO LANDLORD RENT,2400.00,,33856.20
16/06/2026,ANYTIME FITNESS SURRY HILLS,21.95,,33834.25
17/06/2026,SALARY QADAN ANALYSIS CONSULTING,,3184.22,37018.47
19/06/2026,SECURE PARKING MONTHLY PASS,45.00,,36973.47
20/06/2026,"WOOLWORTHS 1423 NEWTOWN, NSW",204.30,,36769.17
22/06/2026,HELLO FRESH AUSTRALIA,96.50,,36672.67
23/06/2026,NETFLIX.COM SYDNEY AU,22.99,,36649.68
24/06/2026,SPOTIFY P0A1B2C3 STOCKHOLM,13.99,,36635.69
27/06/2026,"WOOLWORTHS 1423 NEWTOWN, NSW",89.60,,36546.09
30/06/2026,ANYTIME FITNESS SURRY HILLS,21.95,,36524.14
01/07/2026,SALARY QADAN ANALYSIS CONSULTING,,3184.22,39708.36
03/07/2026,AMPOL FOODARY ALEXANDRIA,65.35,,39643.01
04/07/2026,"WOOLWORTHS 1423 NEWTOWN, NSW",121.75,,39521.26
08/07/2026,ADOBE CREATIVE CLOUD,43.99,,39477.27
09/07/2026,TRANSFER TO LANDLORD RENT,2400.00,,37077.27
11/07/2026,"WOOLWORTHS 1423 NEWTOWN, NSW",168.20,,36909.07
11/07/2026,ATM WITHDRAWAL GEORGE ST,200.00,,36709.07
14/07/2026,ANYTIME FITNESS SURRY HILLS,21.95,,36687.12
15/07/2026,SALARY QADAN ANALYSIS CONSULTING,,3184.22,39871.34
18/07/2026,"WOOLWORTHS 1423 NEWTOWN, NSW",55.40,,39815.94
19/07/2026,SECURE PARKING MONTHLY PASS,45.00,,39770.94
22/07/2026,HELLO FRESH AUSTRALIA,96.50,,39674.44
23/07/2026,NETFLIX.COM SYDNEY AU,22.99,,39651.45
24/07/2026,SPOTIFY P0A1B2C3 STOCKHOLM,13.99,,39637.46
25/07/2026,"WOOLWORTHS 1423 NEWTOWN, NSW",231.05,,39406.41
28/07/2026,ANYTIME FITNESS SURRY HILLS,21.95,,39384.46
29/07/2026,SALARY QADAN ANALYSIS CONSULTING,,3184.22,42568.68
01/08/2026,"WOOLWORTHS 1423 NEWTOWN, NSW",76.90,,42491.78
02/08/2026,AMPOL FOODARY ALEXANDRIA,88.10,,42403.68
07/08/2026,ADOBE CREATIVE CLOUD,43.99,,42359.69
08/08/2026,"WOOLWORTHS 1423 NEWTOWN, NSW",143.65,,42216.04
08/08/2026,TRANSFER TO LANDLORD RENT,2400.00,,39816.04
11/08/2026,ANYTIME FITNESS SURRY HILLS,21.95,,39794.09
12/08/2026,SALARY QADAN ANALYSIS CONSULTING,,3184.22,42978.31
15/08/2026,"WOOLWORTHS 1423 NEWTOWN, NSW",98.30,,42880.01
18/08/2026,SECURE PARKING MONTHLY PASS,45.00,,42835.01
21/08/2026,HELLO FRESH AUSTRALIA,96.50,,42738.51
22/08/2026,NETFLIX.COM SYDNEY AU,22.99,,42715.52
22/08/2026,"WOOLWORTHS 1423 NEWTOWN, NSW",212.80,,42502.72
23/08/2026,SPOTIFY P0A1B2C3 STOCKHOLM,13.99,,42488.73
25/08/2026,ANYTIME FITNESS SURRY HILLS,21.95,,42466.78
25/08/2026,ATM WITHDRAWAL GEORGE ST,200.00,,42266.78
26/08/2026,SALARY QADAN ANALYSIS CONSULTING,,3184.22,45451.00
29/08/2026,"WOOLWORTHS 1423 NEWTOWN, NSW",64.15,,45386.85
01/09/2026,AMPOL FOODARY ALEXANDRIA,72.40,,45314.45
05/09/2026,"WOOLWORTHS 1423 NEWTOWN, NSW",187.40,,45127.05
06/09/2026,ADOBE CREATIVE CLOUD,43.99,,45083.06
07/09/2026,TRANSFER TO LANDLORD RENT,2400.00,,42683.06
08/09/2026,ANYTIME FITNESS SURRY HILLS,21.95,,42661.11
09/09/2026,SALARY QADAN ANALYSIS CONSULTING,,3184.22,45845.33
